Municipio	CodIbge	AreaKm2	Desmatado	Floresta
Alto Boa Vista	5100359	2242	1103.9	559.7
Serrano do Maranhão	2111789	1222	1101.8	78.1
Cametá	1502103	3090	1087.7	647.7
Vitorino Freire	2113009	1130	1087.6	0
Careiro	1301100	6126	1080.7	4637.8
Parecis	1101450	2567	1076.3	857.5
Seringueiras	1101500	2280	1070.7	1042.3
Feijó	1200302	25248	1065.6	24116.6
Pau d'Arco	1716307	1304	1049.2	138.1
João Lisboa	2105500	1134	1039.2	94
Rio Crespo	1100262	1744	1034	686.8
Santo Antônio do Leverger	5107800	12270	1028.8	1119.3
Aveiro	1501006	17094	1025.6	13979.8
Guaraí	1709302	2279	1011.2	182
Governador Nunes Freire	2104677	1047	1011	35.7
Nova Olímpia	5106232	1570	1004.4	249.1
Jauru	5105002	1221	1003	103.9
Rorainópolis	1400472	33850	1002	23867.7
Brejo Grande do Araguaia	1501758	1191	991.5	143.4
Grajaú	2104800	7480	987.5	1740.1
Aragominas	1701309	1179	980.6	171.5
Coroatá	2103604	2298	965.6	0.5
Santa Luzia d'Oeste	1100296	1207	965.2	239.5
Cabixi	1100031	1322	958.5	347.1
Vila Nova dos Martírios	2112852	1197	954.4	97.6
Muricilândia	1713957	1194	948.9	219.4
Parintins	1303403	5961	939.2	1510.4
Paulo Ramos	2108108	937	937.8	0
Santo Afonso	5107263	1172	932.1	235.1
União do Sul	5108303	4583	927.8	3629.3
Mirassol d'Oeste	5105622	1077	927.5	115.3
Nova Marilândia	5108857	1943	925.9	447.5
Lambari d'Oeste	5105234	1338	925.3	238.6
Monção	2106904	1359	922.5	97.7
Nova Guarita	5108808	1089	918.5	169.9
Juscimeira	5105200	2206	918.4	42.5
Cândido Mendes	2102606	1748	914	567.7
Pau d'Arco	1505551	1675	911	313.5
Nortelândia	5106000	1353	911	291.4
Trairão	1508050	11996	906.2	10601.7
Alcântara	2100204	1502	905.1	137.8
Bernardo Sayão	1703206	930	892.3	24.6
Caracaraí	1400209	47820	888.7	29378.2
Castanhal	1502400	1035	888.3	0
Centro do Guilherme	2103158	1084	885.8	198.2
Nova Brasilândia d'Oeste	1100148	1166	878.6	222.7
Itaporã do Tocantins	1711100	924	875.6	47.9
Vale do Paraíso	1101807	973	865.5	103.5
Santa Luzia do Paruá	2110039	914	865.4	17.4
São Miguel do Guamá	1507607	1117	863.9	1.2
Pinheiro	2108603	1483	861.2	92.9
São João do Araguaia	1507508	1291	850.5	258.2
Acrelândia	1200013	1610	847.3	760.5
Porto Alegre do Norte	5106778	3982	845.8	685.1
Prainha	1506005	12600	844.2	5314.9
Epitaciolândia	1200252	1710	841.7	860.1
Pequizeiro	1716653	1212	840.7	69.1
Araguaiana	5101001	6421	828	527.9
Rondonópolis	5107602	4166	823	274.2
Nova Olinda	1714880	1780	822.7	17.8
Capixaba	1200179	1765	818.1	940.5
Itapuã do Oeste	1101104	4131	817.2	3104.9
Canutama	1300904	30283	803.9	28140.3
Dom Aquino	5103601	2207	801.1	46.6
São Domingos do Maranhão	2110708	1321	790.9	412.4
Cerejeiras	1100056	2804	790.4	771.7
Caroebe	1400233	12122	790.1	10967.7
Palestina do Pará	1505494	986	787.9	168.1
Nova Xavantina	5106257	5527	781.3	273.5
Porto de Moz	1505908	17429	779.4	6147.6
Belterra	1501451	4404	777.5	2710.3
Guajará	1301654	9389	766.7	8331.4
Piraquê	1717206	926	761.4	91.2
Novo Aripuanã	1303304	41459	755.4	38013.7
Manacapuru	1302504	7381	752.7	4278.8
Maranhãozinho	2106375	964	752.7	206.8
Colméia	1716703	995	751.4	23.3
Coari	1301209	58834	751.4	52816.1
Pio XII	2108702	827	749	0
Barreirinha	1300508	5759	747.2	3645.6
Araguanã	2100873	810	746.3	62
Araguanã	1702158	837	739.1	71.1
Novo Horizonte do Oeste	1100502	852	737.8	109.5
Figueirópolis d'Oeste	5103809	893	735.3	47.3
Novo Horizonte do Norte	5106273	940	729.3	203.1
Augusto Corrêa	1500909	1101	725.5	236.7
Presidente Dutra	2109106	805	712.9	92.1
Castanheiras	1100908	901	712.2	186
São Francisco do Brejão	2110856	751	706.3	44.7
Ministro Andreazza	1101203	805	706.3	98.7
Lagoa Grande do Maranhão	2105963	742	703.8	28
