Municipio,CodIbge,Estado,AreaKm2,Desmatado2004,Incremento20032004,Floresta2004,Nuvem2004,NaoObservado2004,NaoFloresta2004,Hidrografia2004
Abaetetuba,1500107,PA,1617,669.9,11.3,294.8,0,228,12.7,411.6
Igarapé-Açu,1503200,PA,789,667.2,9.5,0,0,122.2,0,0
Canutama,1300904,AM,30283,667,59.8,28326.7,0,5.5,988.3,295.5
Colinas do Tocantins,1705508,TO,848,660.3,0.3,6.3,0,0.6,180.8,0
Santa Rita do Trivelato,5107768,MT,3347,656.8,40.2,690.8,0,0,1999.4,0
Novo Aripuanã,1303304,AM,41459,654.2,52.1,38412.4,0,27.9,1623.2,741.3
Tucuruí,1508100,PA,2094,651.4,31,954.3,0,0,4.8,483.5
Carutapera,2102903,MA,1267,644.5,0,410.2,4.6,0.5,123.2,84
Presidente Figueiredo,1303536,AM,25567,644,14,21496.8,0.1,5.4,1,3419.7
São Luís Gonzaga do Maranhão,2111409,MA,981,643,0,1,0,335.4,1.6,0
Cruzeiro do Sul,1200203,AC,8352,638.5,46,7677.6,0,35.7,0.2,0
Jenipapo dos Vieiras,2105476,MA,1522,637.6,3.1,712.5,0,0,171.9,0
Senador La Rocque,2111763,MA,751,637.1,3.7,113.9,0,0,0,0
Porto de Moz,1505908,PA,17429,626.5,109.6,12107.1,109.1,2.7,3132.2,1451.4
Conceição do Lago-Açu,2103554,MA,836,625.3,0,0,0,0.1,98.4,114.2
Bujaru,1501907,PA,1010,608.8,35.8,0,0,404.8,0,0
Humaitá,1301704,AM,33431,607.3,14.3,28917.9,0,2.1,3120.5,783.2
Mirante da Serra,1101302,RO,1206,603,19.5,387.1,0,0.1,215.8,0
Tefé,1304203,AM,24187,594.7,2.3,22700,1.3,1.8,168.5,720.7
Concórdia do Pará,1502756,PA,694,592.9,13.7,0,0,102.8,0,0
Poção de Pedras,2108900,MA,663,588.9,0,0,0,74.2,0,0
Envira,1301506,AM,13904,588.2,25,13228.2,0,5.3,0.1,82.2
Buritirana,2102358,MA,825,578.5,2.4,232.2,0,0,14.3,0
Conquista D'oeste,5103361,MT,2708,570.8,3.4,819.3,0,2.1,1315.8,0
Cururupu,2103703,MA,940,570.1,0,246.4,38.3,0.6,6.5,78.1
Olho d'Água das Cunhãs,2107407,MA,562,562,0,0,0,0,0,0
Indiavaí,5104500,MT,601,561.3,0.5,39.6,0,0.1,0,0
Planalto da Serra,5106455,MT,2451,553.2,0.7,41.6,0,0.2,1856,0
Diamantino,5103502,MT,7640,548.8,56,1665.8,0,1.1,5424.3,0
