Municipio,CodIbge,Estado,Desmatado2010,Incremento20092010,Floresta2010,Nuvem2010,NaoObservado2010,NaoFloresta2010,Hidrografia2010
CanaBrava do Norte,5102694,MT,1622.2,2.2,624.1,0,0,1203.5,0.2
Ribeirão Cascalheira,5107180,MT,1619.7,5.8,1790.1,0,0.2,7938.2,15.8
Presidente Médici,1100254,RO,1603.8,0.1,142.7,0.1,0,17.5,9.9
Baião,1501204,PA,1571.6,23.4,1483.4,0,0.5,474,236.5
Sena Madureira,1200500,AC,1563.9,35.9,23805.6,791.7,17.9,2.9,0
Manicoré,1302702,AM,1562.7,63.2,42127.8,3.2,18.2,4148.6,826.5
Cláudia,5103056,MT,1556.3,7.4,2254.2,0,0,0,8.5
Aurora do Pará,1500958,PA,1536,10.8,181.2,100.7,0.6,0,5.5
Nova Santa Helena,5106190,MT,1520.2,5.1,1102.4,0,0.1,2.3,0
Plácido de Castro,1200385,AC,1496.7,7.1,597.9,0,4.4,0,0
Nova Esperança do Piriá,1504950,PA,1492.3,10.3,962.2,374.6,0.9,0,0
Oriximiná,1505304,PA,1474.7,37.6,82670.2,18153.2,84.4,3628,1767.5
Cantá,1400175,RR,1473.8,36.2,5024.2,302.5,2,827.7,83.8
Santa Carmem,5107248,MT,1472.3,12.4,2448.7,0,0,0,0
Portel,1505809,PA,1464.8,56.4,10825.2,11908.7,1.2,383.3,841.8
Arapoema,1702307,TO,1462.1,0.3,73,0,0,0,22.9
Jacundá,1503804,PA,1458.6,6.7,264.6,25.1,0.4,0,265.3
Cacaulândia,1100601,RO,1455.7,1.1,489.5,0,0,40.8,0
Cujubim,1100940,RO,1428.5,34.6,2470.1,0,0.2,0,2.2
Garrafão do Norte,1503077,PA,1424.3,6.8,179.1,11.5,1.1,0,0
Guajará-Mirim,1100106,RO,1423,3.7,19064.6,726.4,80.8,3795.1,167.1
Brasiléia,1200104,AC,1416.7,13.5,3055.5,0.1,11.4,0,0.3
Santa Helena,2109809,MA,1413,3.4,139.7,47.8,0.1,628.9,106.5
Porto Acre,1200807,AC,1382.1,15.8,1686.1,0,2.8,0,0
Cachoeira do Piriá,1501956,PA,1380.7,56.2,950.9,99.4,0.6,0,7.4
Alvorada d'Oeste,1100346,RO,1365.4,0.9,870.3,2.5,0,821.8,0
Itaipava do Grajaú,2105351,MA,1364,13.8,192.5,0,1.5,0,0
Monte Negro,1101401,RO,1357.9,5.1,553,0,0,45.1,0
Alenquer,1500404,PA,1351.7,22,14557.9,3295.7,3.7,2475.3,590.7
Parauapebas,1505536,PA,1348,4.3,5574.9,8.6,0.4,85.8,1.3
Santa Cruz do Xingu,5107743,MT,1347.6,4.9,2589.7,0,0,1624.2,63.5
Governador Jorge Teixeira,1101005,RO,1345.7,1.1,3589.3,0,0,193,0
Jacareacanga,1503754,PA,1337,27.1,44918.2,1218.5,9.7,5207.4,718.2
São Domingos do Capim,1507201,PA,1333.9,1.1,88.7,248.8,0.3,15.3,0
Xambioá,1722107,TO,1320.8,6.6,280.4,0,0.3,10.9,28.6
Rolim de Moura,1100288,RO,1320.2,0.2,139.9,10.9,0,0,0
Maués,1302900,AM,1302.1,14.4,36553,56.5,3.1,872.2,1292.1
Juruena,5105176,MT,1300,16.4,1709.6,0,0,161.7,28.7
Cidelândia,2103257,MA,1296.4,1.9,146.9,0,0.9,21.4,7.4
Bujari,1200138,AC,1292.2,9.9,2279.4,0,0.4,0,0
Senador Guiomard,1200450,AC,1290.9,2.9,586.9,9.2,0,0,0
Alto Alegre dos Parecis,1100379,RO,1287.5,3,1762,7,5.7,916.8,14
São Domingos do Araguaia,1507151,PA,1278,5.6,117.5,0,0.5,0,0
Barra do Garças,5101803,MT,1272.6,0,224.9,0,3.2,7631.7,14.6
Santa Fé do Araguaia,1718865,TO,1265.4,1.2,360.4,0,0.1,0,56.1
Grajaú,2104800,MA,1262.5,88.5,1461.8,0,0.7,4755,0
Pimenteiras do Oeste,1101468,RO,1254.7,6,2323.9,0,38.1,2425.8,24.5
Santa Luzia do Pará,1506559,PA,1244.2,0.9,114.9,1.7,0.2,0,0
Manaus,1302603,AM,1242.8,10.2,8222.8,455.6,0.7,3.5,1548.6
Ourilândia do Norte,1505437,PA,1240.2,2.7,9358.8,69.7,0.8,3167.1,3.4
Araputanga,5101258,MT,1226.7,1.5,345.8,0,0.7,34.8,0
Autazes,1300300,AM,1219.8,5.6,857.6,4080.1,1.2,462.2,1013.1
Tarauacá,1200609,AC,1219.5,22.4,15050.8,0,2,0,5.7
Irituia,1503507,PA,1206.9,0,20.4,142.4,0.3,17,0
Bacabal,2101202,MA,1203.8,0,0,141,0,359.8,2.5
Vale do Anari,1101757,RO,1198.4,3.7,1937.4,0,0,11.2,19
Tuntum,2112308,MA,1196.1,8,410.4,33,0.9,1936.7,41.9
São Gabriel da Cachoeira,1303809,AM,1192.4,10.3,83208,25762.1,362.3,491.4,1484.8
Colorado do Oeste,1100064,RO,1188.3,0.1,217.1,0,0,53.6,0
São José dos Quatro Marcos,5107107,MT,1184,2.2,62.4,0,0,37.6,0
Turilândia,2112456,MA,1183.2,7.3,128.3,19,0.1,136.4,62
Nova Olinda do Maranhão,2107357,MA,1175.4,3.3,1010.7,300,0.9,0,0
Governador Newton Bello,2104651,MA,1169.7,0.2,6.6,0.6,0.1,0,0
Nova Brasilândia,5106208,MT,1165.9,0,193.1,0,0,1882.4,27.6
Xapuri,1200708,AC,1163.7,5.8,4251.5,0,0.8,0,0
