"NOM_MUNICI" "COD_MUNICI" "count"
"290" "ALVORADA" "1700707" 14
"291" "ANANAS" "1701002" 13
"292" "ANGICO" "1701051" 4
"293" "APARECIDA DO RIO NEGRO" "1701101" 13
"294" "ARAGOMINAS" "1701309" 8
"295" "ARAGUACEMA" "1701903" 9
"296" "ARAGUACU" "1702000" 55
"297" "ARAGUAINA" "1702109" 127
"298" "ARAGUANA" "1702158" 4
"299" "ARAGUATINS" "1702208" 20
"300" "ARAPOEMA" "1702307" 10
"301" "ARRAIAS" "1702406" 22
"302" "AUGUSTINOPOLIS" "1702554" 11
"303" "AURORA DO TOCANTINS" "1702703" 7
"304" "AXIXA DO TOCANTINS" "1702901" 2
"305" "BABACULANDIA" "1703008" 13
"306" "BANDEIRANTES DO TOCANTINS" "1703057" 8
"307" "BARRA DO OURO" "1703073" 4
"308" "BARROLANDIA" "1703107" 12
"309" "BERNARDO SAYAO" "1703206" 3
"310" "BOM JESUS DO TOCANTINS" "1703305" 7
"311" "BRASILANDIA DO TOCANTINS" "1703602" 2
"312" "BREJINHO DE NAZARE" "1703701" 3
"313" "BURITI DO TOCANTINS" "1703800" 3
"314" "CACHOEIRINHA" "1703826" 2
"315" "CAMPOS LINDOS" "1703842" 16
"316" "CARIRI DO TOCANTINS" "1703867" 8
"317" "CASEARA" "1703909" 10
"318" "CENTENARIO" "1704105" 3
"319" "CHAPADA DE AREIA" "1704600" 2
"320" "CHAPADA DA NATIVIDADE" "1705102" 7
"321" "COLINAS DO TOCANTINS" "1705508" 13
"322" "COMBINADO" "1705557" 4
"323" "CONCEICAO DO TOCANTINS" "1705607" 7
"324" "COUTO DE MAGALHAES" "1706001" 5
"325" "CRISTALANDIA" "1706100" 24
"326" "CRIXAS DO TOCANTINS" "1706258" 4
"327" "DARCINOPOLIS" "1706506" 11
"328" "DIANOPOLIS" "1707009" 9
"329" "DIVINOPOLIS DO TOCANTINS" "1707108" 21
"330" "DOIS IRMAOS DO TOCANTINS" "1707207" 10
"331" "DUERE" "1707306" 62
"332" "ESPERANTINA" "1707405" 2
"333" "FATIMA" "1707553" 2
"334" "FIGUEIROPOLIS" "1707652" 5
"335" "FILADELFIA" "1707702" 16
"336" "FORMOSO DO ARAGUAIA" "1708205" 57
"337" "FORTALEZA DO TABOCAO" "1708254" 6
"338" "GOIANORTE" "1708304" 3
"339" "GOIATINS" "1709005" 12
"340" "GUARAI" "1709302" 144
"341" "GURUPI" "1709500" 133
"342" "IPUEIRAS" "1709807" 5
"343" "ITACAJA" "1710508" 11
"344" "ITAGUATINS" "1710706" 7
"345" "ITAPIRATINS" "1710904" 5
"346" "ITAPORA DO TOCANTINS" "1711100" 4
"347" "JAU DO TOCANTINS" "1711506" 20
"348" "JUARINA" "1711803" 1
"349" "LAGOA DA CONFUSAO" "1711902" 98
"350" "LAGOA DO TOCANTINS" "1711951" 4
"351" "LAJEADO" "1712009" 23
